________________________________"","Team","Home/Away","Session","Bonus","Total"
"1","Sri Lanka","8","13","0","21"
"2","Bangladesh","12","17","0","29"


"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"Hrecord","L","L","L","L","T","L","L","W","T","W","W","W","T","T","T"

"","Hrecord","Freq"
"1","L",6
"2","T",5
"3","W",4
________________________________

"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"Arecord","W","W","W","W","T","W","W","L","T","L","L","L","T","T","T"

"","Arecord","Freq"
"1","L",4
"2","T",5
"3","W",6
________________________________
